sentences	labels
She is my favorite person	0
this is rei from evangelion concept/design by	0
I'm so sorry for his mother's loss. I can't imagine the grief she is going through.	0
I think knows what he's doing. It's a lose-lose proposition no matter what he does. Kind of like being a referee at a dog fight. I'll reserve judgement until Monday. I definitely see where you're coming from. MAGA KAG2018 KavanaughConfirmation URL	0
Conservatives just keep doubling down on being terrible people.	1
So why even make the specification when I tell you gun control did nothing to stop your homicide rate?	1
Useful idiots for international communism just like antifa today. URL	1
I agree! I guess Dems are saying that they’re worried about some October surprise where the FISA docs are released leading up to the election.MAGA!	1
Anyone have any guesses as to what &amp; will lie about this week?? A) The world is ending Friday B) Give me all your money &amp; I'll triple it by tomorrow C) knows everything - just listen to her D) MAGA	1
'Why people who are a particular leaning?' - this implies that there is a specific effort against conservatives which I have not seen any actual evidence of. (Presidential tweets and cherry picking tweets do not count)	0
ALL THIS IS BS. FORD IS LYING!!This has everything to do with delaying the vote... MAGA ConfirmKavanaughNow POTUS URL	1
Westminster Tories WTF is going wrong with police these days URL	0
What do you expect from a man that claims He is the Christ Vicariously He's a liar and the leader of liar's serving his father the author of all lies.	1
Just like the gun control poster child David Hogge. You don't hear from him anymore. One and done	0
Two prominent backwards conservatives removed from Texas education. Looks like they're as blind deaf and dumb as Helen Keller once was.	1
We need gun control Liberals should not have access to guns. They are not mentally stable. This must stop	0
God I hope not	0
She is discussing!	0
You are way too generous	0
What happened to your last guess Kevin Hassert? Huntsman has already denied it. So you are calling him a liar.	0
Yes you are correct and I don’t get what they see in him either. I’m just thankful he’s no longer in office.	0
They are really upset about this election loss.	0
Conservatives left frustrated as Congress passes big spending bills... tcot URL	0
"You are fkn deluded pal FatNixon is a digusting pig Trump interview on 9/11: [My building] was the 2nd-tallest in Manhattan... And now it’s the tallest."""""	1
You are very beautifull	0
the criminals need gun control	0
Heard from who? You and your lying jealous cronies???	1
Companies used to remove execs who are emotionally disturbed. An ED exec can't be trusted to be a leader of people. I guess no longer.	0
Hi BEE GEE!!! You are so cute!!!	0
paul george	0
Thank you President Trump! ALL of America is benefiting for todays' economy too! And most importantly? President Trump gets ALL the credit! = MAGA URL	0
"This Day in Liberal Judicial Activism—September 17"" URL TCOT MAGA RedNationRising"""	0
loveforjess I might not know her but many people do so spread the word in hopes that she is.	0
SUCH SUPPORT SPOOKY AT MY LOWEST MOMENT	0
Creepy Joe with roaming hands for little girls is one of the most noncreditable demonRATs I have ever seen. He &amp; Jill won't talk about all the disgusting pervert actions of his just their hate and disapproval for conservatives and Trump. Like Hillary just shut up and go away.	1
Maybe there wouldn't be 5 of these things a day of there was a little sensible gun control in this fucking country.	1
"I can't watch CNN anymore because the conservative pundits they have on are just partisan hacks. I get CNN wants balance"" but the conservatives that defend the indefensible are too much."""	0
Oh yeah do you? Trust me give it 3 weeks and you will be begging for Jameis. Fitzmagic turns fitztragic QUICK. I’m a jets fan take my word and thebills word he is fools gold	0
She is backon twitter	0
WinForUs Antonio. We're with you. MAGA	0
1. Trump and the Mueller Investigation 2. Climate Change 3. Guns and Gun Control 4. Unions and Workers SaveSCOTUS WhatsAtStake URL	0
Real victims of sexual assault/harassment see how liberals are politicizing this horrendous act of betrayal. It makes me so angry. I was a victim. But not to remember details? I call BS. PTSD still effects me to this day 42 years later &amp; 20+ yrs of counselling. Ask my husband.	0
So you are going to deflect away from nearly 3000 dead due the the lack of post hurricane support from the Trump administration by using the deportation of a single 92 year old man? You sir are the offensive one.	1
Oh. Low blow or blow job. Lmao	1
Democrat supports domestic terror group Antifa URL	0
Holy shit which sears?	1
dude she is a babe! that dress wowowowowow	0
4.5 million kids in poverty a screwed up Universal Credit system Brexitshambles an Economy teetering on the brink ...the list is endless and the common factor &gt; building a country fit for nothing	1
Another Democrat scam. Republicans don't fund terrorist groups like ANTIFA to threaten people. ...but go ahead make it look real	1
I was going to ask the same thing. Don't know who he is.	0
False. They have not released the names of the 13 Russians yet	0
Strange how Gun Control never works Criminals will never obey laws I am my own FirstResponder URL	0
Man I hope they say if he is playing or not on Saturday	0
Gee double standard over here the left call them heroes.	0
If just a veiled accusation can derail it will never stop resist antifa and fingerprints all over this	0
Gun control crowd wants gun sales to have the 4473 filed but they succeed in getting GunBroker app shut down. As most GunBroker sales( I'd guess over 90% ) are guns shipped from FFL to FFL. Kinda like wanting gun safety and getting ranges shut down. All about control.	0
You are so good at drawing	0
Yes she did. She has sat in on many public hearings including Facebook. She is a ploy	0
Not supporting trump is the lowest low bar. I’m glad someone doesn’t support trump. It doesn’t make them an ally. There are plenty of conservatives who hate trump who aren’t also pure trash.	1
Forget Montel! Those who speak so speak from their own delusional disgusting truth! He is not worth it! Trash pick up coming! URL	1
Why do liberals shout and hang their mouths open? Slack jaws.	0
you are something else	0
Everybody!! Criticize our POTUS and deal with it! He will still be prez when you wake up tomorrow morning! Ha!	0
What role does gun control play on school safety?	0
Apparently bald men hate women and think they shouldn't speak...and we are all crazy conservatives. None of which are true about me except the bald part...but I like when people argue with anger...it's entertaining.	0
You're literally white nationalist radicals and enemies of the state. You're lucky you're not being hunted down by federal agents like the terrorists you are...but the citizenry will act in the state's place soon enough. ACTA NON VERBA. TheResistance ResistTrump Antifa URL	1
The Nov election will tell the tale. MSM laud Antifa; alt-media expose them as Soros-shill shitheads.	1
And I don’t call striking down gun control legislation curtailing our civil rights. Gun control legislation is just common sense.	0
If you are new to Q or interested in Q here is a link to the post URL and watch pursuit of truth on YouTube. He is easy to follow. Enjoy the show!!	0
What do u expect from vile violent lying disgusting liberals	1
Hooray!!	0
Don’t	0
I love Carole! She is so smart I will really miss her! RHONY was hoping u would have been a great addition to or another political show. Any news on what u will do next?	0
Liberals with their lies again.	1
Ahhh the left wing liberal Democrats.	0
Point is they are trying to make a statement. And (some) trump chumps are guilty of much worse than anything antifa has done in the goal of trying to make a statement	0
I loved the House Bunny. And the remembering names voice was funny. My family and I watch Mom it’s great. I’m a recovered addict or moderately recovered if you are one who counts pot lol. It’s a very good show.	0
TY A.J. I can't sit by and watch my town being destroyed by liberals. They have used all sorts of tactics to try to destroy me. I am small but mighty.	0
And I will never watch your movies again because you are a maniac!	1
The radical Social Media Antifa type can go hang.	0
I do i do buh if u really know me you would know Khabib is my guyyyy. He is gonna make him humble	0
"By saying they eat my dogs"" in correlation to bts, you are automatically relating asians to ""dog-eaters"". You know that bts doesn't eat dogs, so your comment was obviously meant to convey hate."""	0
Eric Holder should be tried for treason	0
He is a piece of work!	0
Can we all stop pretending that the Catholic Church is not the seat of Satan on earth?	1
IM VERY HORIBBLE AND SHITTY THATS HOW I AM	1
Double down on rating. Bet NCAA loves this.	0
He's a crook TrumpTime URL	1
But you knew it was pointless to cry because it would just add to the awful humidity...	0
Democ Rats are pulling the Anita Hill trick to derail the Judge Kavanaugh confirmation. It will not work! Get over triumph. You communists will not destroy the USA MAGA	1
In 2010 the Conservatives cut annual funding to build social housing by £2.5bn. Today Theresa May announced an extra £2bn to build social housing.... spread over the next 10 years! So by 2028 it’ll be a £33bn cut since 2010 instead of £35bn. I despair!!	0
Mueller DOJ FBI CIA LawEnforcement PoliceState Proof all law enforcement are paramilitary goons for the communist leftwing DNC &amp; will do anything to solidify their grip on power. Conservatives should seriously question their support of police. URL	0
FASCIST LEFT ARE EVERYWHERE. We must crush them; boycotts work folks.	1
CNN is trash and everyone that has a brain knows it!	1
Gitmo could resolve Holders issues along with all of Obama’s Clowns	1
I thought it was funny. He is a great player though.	0
He is so beautiful there.	0
And yet “he is”. Better than anyone before him	0
Just imagine the tyranny we’d be living under had these leftwing tryants waging war on us and our duly elected president and the American Republic itself gained tyrannical control of the US Supreme Court the neocon’s NeverTrump crew was trying to deliver to them? MAGA	0
2/The Democratic Party won’t do anything to him because he’s Muslim Brotherhood &amp; they don’t care about Monahan. The Muslim Brotherhood needs to be declared a terrorist organization—all of it! Ellison also supports ANTIFA. These people are so foul it’s scary!	1
"URL a high-tech lynching for Uppity (Republican) Blacks'"" is fine, but raping women by liberals?' ""THEY ALL DO IT” including Bill Clinton."""	1
If you want societal dregs - take a look at antifa	0
I thought the red hat was a MAGA hat until I saw the maple leaf.	0
Liberals are in full meltdown today...fun to watch...	0
If the banks fall then peoples money falls too	0
Another great train Picked up some new Patriots. Thank you for including me.	0
Kane trying to stay relevant? Ever thought the cats were beaten by a better/hungrier side ? He is kidding him self if he thinks they were worried about whacky Wednesday instead of concentrating on a footy final. flog	0
I swear to god . This shit is too real man	1
